,x,LocationID_new,Prediction
171,2,172,Uber Dominates
172,2,173,Uber Dominates
173,0,174,Low Trips
174,0,175,Low Trips
175,3,176,Expected Uber Dominates
176,0,177,Low Trips
177,0,178,Low Trips
178,0,179,Low Trips
179,1,180,Taxi Dominates
180,2,181,Uber Dominates
181,1,182,Taxi Dominates
182,2,183,Uber Dominates
183,0,184,Low Trips
184,0,185,Low Trips
185,0,186,Low Trips
186,0,187,Low Trips
187,2,188,Uber Dominates
188,3,189,Expected Uber Dominates
189,0,190,Low Trips
190,3,191,Expected Uber Dominates
191,3,192,Expected Uber Dominates
192,1,193,Taxi Dominates
193,1,194,Taxi Dominates
194,0,195,Low Trips
